16|Nada es más hermoso que acudir al encuentro del destino cuando éste tiene que ver con nuestras pasiones. Llevamos la pasión por escribir en los genes, pero el oficio se cultiva con el acto mismo de escribir. Este libro es producto de un taller de escritura con adolescentes como tú que se encontraron con el texto y consigo mismos
17|Había un niño llamado Sebastián. Era un niño común a quien le gustaba jugar futbol por las tardes. Cierto día estaba leyendo una historieta, pero decidió tomar un descanso, fue por algo de beber. Como las tragedias están a la orden del día, resbaló en el piso mojado
18|Sebastián, desesperado, abrió su refrigerador y tomó lo primero que encontró. Un limón, parecía un limón normal pero él no sabía que era un limón mágico. Se lo puso en la cavidad vacía. Sus padres estaban asustados
19|Una mañana, mientras me encontraba desayunando, escuché un ruido extraño que provenía de mi cuarto. Me levanté y fui a asomarme. Ahí, justo al otro lado de la puerta, estaba yo. ¿Cómo podría ser eso posible? Sólo me quedé viéndome y asustada
20|Esta mañana me levanté, escuché ruidos, los vi a todos desayunando con ella, pero nadie me pudo ver. Mi gemela me ignoró cuando quise hablarle, la miro callada desde esta pared en que me encuentro. Me mira y sale corriendo del cuarto, la sigo hasta su colegio
21|En una pequeña isla olvidada por el tiempo, azotada por el viento y el salitre, se erguía un viejo faro de piedra. Desde hacía más de cien años, la torre vigilaba el horizonte, rompiendo la oscuridad con su haz giratorio
22|marcando el límite entre el mar bravo y la seguridad de la costa. Nadie vivía ya en la isla, salvo el farero, un hombre de barba espesa y mirada endurecida por las mareas, cuyo nombre pocos recordaban.
23|Cada día, el farero se despertaba antes del amanecer. Su rutina comenzaba con una caminata por la costa, donde recogía maderas arrastradas por el mar y observaba las aves marinas, que parecían ignorarlo con indiferencia ancestral
24|Luego, subía los interminables peldaños del faro, revisaba los engranajes, limpiaba los cristales de la linterna, aceitaba las bisagras, y ajustaba la maquinaria que, al caer la noche, pondría en marcha el haz de luz.
25|Su vida transcurría entre esos pasos repetidos, tan medidos como las olas que golpeaban las rocas. Comía pescado seco, pan duro y lo que lograba cultivar en un jardín pobre de tierra salina. La lluvia era su única fuente de agua dulce.
26|En las tardes largas, leía los mismos libros que encontró allí cuando llegó, volúmenes carcomidos por el tiempo, con páginas que crujían como hojas secas. No llegaban barcos. No llegaban cartas. Nadie venía. El mundo parecía haberse olvidado del faro
27|pero el farero seguía cumpliendo su deber con una perseverancia silenciosa. Él no esperaba que alguien lo felicitara por mantener encendida la luz. No buscaba agradecimientos. Solo sabía que, mientras esa luz girara, mientras atravesara la bruma, aún existía una razón para levantarse al día siguiente.
28|Durante una tormenta particularmente feroz, el mar rugía con una furia que parecía querer tragarse la isla entera. Las olas trepaban por las rocas y rompían contra los muros del faro. El viento aullaba entre las rendijas como un animal salvaje.
29|La linterna vibraba con cada sacudida del viento. El farero no se alejó de su puesto. Subió hasta lo más alto, aferrado a los pasamanos oxidados, y mantuvo el fuego encendido. La tormenta duró toda la noche. Al amanecer, el mar se retiró dejando el cielo lavado y claro
30|como si el mundo hubiera sido purificado por la furia de los elementos. Con los años, el cabello del farero se volvió blanco, pero sus pasos seguían firmes. Ya no leía tanto como antes, pero observaba más. Pasaba horas mirando el mar, intentando leer sus secretos
31|como si el océano pudiera devolverle algo que había perdido. A veces, escribía en un cuaderno de tapas de cuero. Nadie lo leería, pero eso no importaba. Escribir le ayudaba a ordenar sus pensamientos, a no olvidarse de sí mismo en medio del silencio que lo rodeaba.como si el océano pudiera devolverle algo que había perdido. A veces, escribía en un cuaderno de tapas de cuero. Nadie lo leería, pero eso no importaba. Escribir le ayudaba a ordenar sus pensamientos, a no olvidarse de sí mismo en medio del silencio que lo rodeaba.
32|Una mañana, al abrir la puerta del faro, encontró en la playa algo inesperado: una botella. Dentro, un mensaje enrollado en papel amarillento. Las letras eran irregulares, temblorosas, escritas por una mano desesperada. Era un ruego por ayuda, lanzado desde un lugar lejano
33|sin coordenadas ni firma. El farero guardó el mensaje sin decir palabra, lo colocó en su escritorio y volvió a encender la lámpara esa noche con más fuerza que nunca. El tiempo pasó. A veces, el farero creía ver luces en el horizonte
34|pequeñas y vacilantes, como señales en clave que no sabía descifrar. Soñaba con barcos perdidos, con marineros que veían su luz y sabían que aún quedaba un rincón del mundo donde alguien velaba por ellos. En sus sueños, él era un faro viviente, su cuerpo una torre, su pecho una lámpara que nunca se apagaba.
35|Un invierno llegó más crudo que los anteriores. La nieve cubrió la isla, el viento heló los árboles bajos, y el farero sintió cómo su cuerpo envejecía más rápido. Las manos le temblaban al subir la escalera. Le costaba mantener encendida la linterna, pero lo lograba.
36|Cada noche, hasta el último momento, la luz giraba como un corazón latiendo contra la oscuridad. Un día, simplemente no despertó. Su cuerpo quedó tendido junto a la ventana, con la mirada fija en el mar. Nadie vino a buscarlo. Nadie supo que había muerto.
37|Pero el faro, como obedeciendo su voluntad incluso más allá de la vida, siguió encendiendo su luz cada noche por una semana más. El último cuaderno que escribió quedó abierto en una página en blanco. Solo el viento leía sus secretos.
38|Meses después, un velero perdido avistó la isla. Un navegante joven, hambriento y casi vencido por la desorientación, fue guiado por la luz que aún giraba. Cuando pisó tierra, encontró el faro abandonado, pero intacto
39|Subió hasta la cima, donde halló el cuaderno, los libros, el jardín seco, y la linterna apagada por primera vez. El joven entendió que allí había vivido alguien cuya vida fue luz. Se quedó varios días, reparó lo que estaba roto y, al partir, dejó encendida la lámpara.
40|Desde entonces, cada tanto, un nuevo farero llega a la isla. Algunos se quedan por años, otros por meses. Todos encuentran el cuaderno de tapas de cuero, todos leen los libros gastados, todos encienden la linterna al caer la noche. Y aunque el mundo moderno ya no necesita faros como antes, ese sigue brillando.
41|El mundo amanecía sin premura. Las montañas respiraban despacio bajo el manto denso de la neblina que se deshacía con el paso del tiempo. El cielo no tenía colores brillantes ni sombras marcadas.
42|Era solo una extensión inmóvil, extendida como un lienzo sin pretensiones. Nada se apresuraba. La tierra no esperaba nada. El viento cruzaba con la misma lentitud que había cruzado siempre.
43|Las hojas caídas en el suelo no susurraban mensajes. No buscaban volver a los árboles que las habían soltado. Solo estaban ahí, entregadas al suelo, descomponiéndose en silencio, regresando con calma a lo que alguna vez fueron.
44|Los días no eran diferentes entre sí. Se movían como una corriente sin inicio ni fin. La luz y la oscuridad se turnaban sin necesidad de interrupciones. No había reloj que midiera los momentos.
45|El tiempo mismo no necesitaba dividirse en segundos ni en horas. Existía como una corriente que fluía sin obstáculos, un hilo extendido por encima de todo.
46|Las estaciones no buscaban destacar. El calor llegaba sin aspavientos, y el frío se retiraba sin despedidas. La lluvia caía cuando debía caer. El agua se deslizaba por las piedras y los surcos del terreno
47|El mar respiraba también, con oleadas largas y suaves. Su movimiento era una memoria perpetua de lo que siempre había sido. No necesitaba naufragios, ni viajes, ni faros. Su sonido era un susurro antiguo que no buscaba ser escuchado.
48|La arena se esparcía en silencio, sin huellas ni pasos. Las dunas no conocían el concepto de avance. Se formaban y se deshacían, una y otra vez, sin fin
49|La tierra no era un escenario. No se construía para nada ni para nadie. Su existencia era suficiente. Su respirar constante bastaba. La erosión no era destrucción. Era parte del ciclo.
50|Las montañas se desgastaban como pensamientos que se olvidan lentamente. Los valles no querían ser cruzados. Se abrían simplemente porque el terreno lo permitía. Las cavernas no ocultaban secretos. Solo se formaban donde el agua había decidido pasar
51|En el fondo del bosque más profundo, donde la luz apenas toca y el aire parece detenido, la vida ocurría también sin espectáculo. Las esporas flotaban, los hongos se abrían, los insectos se deslizaban, el suelo latía con la actividad imperceptible de lo mínimo.
52|La llanura se extendía sin interrupciones visibles como una sábana inmensa que había sido tendida hace siglos y jamás retirada. No había colinas ni grietas ni señales de movimiento.
53|Solo una superficie que se perdía en el horizonte sin ninguna prisa. El cielo sobre ella era plano y gris, sin nubes marcadas ni azul definido.
54|Todo parecía suspendido en un estado que no requería explicación ni interpretación. La luz llegaba sin dramatismo y el calor apenas se sentía. No había estaciones perceptibles. Solo una continuidad inalterable.
55|El suelo era firme pero no duro. Su textura recordaba la de la ceniza seca. Al pisarlo no dejaba huella ni sonido. Ninguna brisa agitaba el aire. No se escuchaban hojas ni crujidos ni murmullos lejanos.
56|El silencio era completo no por ausencia de cosas sino por la serenidad con que todo existía. El paisaje no ofrecía secretos. No se escondía nada debajo de su superficie. Lo que se veía era todo lo que era y eso era suficiente.
57|Pequeñas formaciones de piedra sobresalían de vez en cuando como si hubieran sido dejadas ahí por accidente. No tenían patrón ni repetición. No apuntaban a nada ni servían como referencia.
58|La lluvia caía algunas veces. No empezaba de golpe ni terminaba con rapidez. Era un descenso parejo de gotas pequeñas que no golpeaban fuerte ni formaban charcos.
59|El agua se infiltraba en el suelo sin drama como si nunca hubiera querido quedarse. Luego todo volvía a estar seco como antes. El cambio no era visible pero había ocurrido.
60|La humedad no traía olor ni frescura ni verdor. Solo era parte del proceso silencioso que mantenía a la llanura en su forma constante.
61|A lo lejos se levantaban estructuras hechas de piedra y tiempo. No eran edificios ni ruinas. Tampoco eran montañas. Eran elevaciones que surgían lentamente sin intención de ser vistas.
62|Su forma era imperfecta y su volumen impreciso. Estaban ahí desde siempre. No servían como destino ni como refugio. Solo como parte de un fondo que no terminaba de definirse.
63|El sol no proyectaba sombras claras sobre ellas. La luz era suave y difusa. Nunca se veía un atardecer. Tampoco amanecía con colores intensos.
64|Las noches no traían estrellas. El cielo solo se oscurecía un poco. No había luna visible. La temperatura no descendía de forma brusca. Solo se volvía un poco más quieto todo lo que ya era quieto.
65|No surgían sonidos nuevos. No aparecían criaturas ni cantos. La noche no alteraba nada. Solo se desplegaba con la misma calma con la que lo hacía el día.
66|El tiempo no avanzaba con urgencia. Era un ritmo sin golpes. Un compás sin marcaciones. Nada envejecía de manera evidente. Nada nacía con violencia.
67|Todo se transformaba con una lentitud tan grande que no podía percibirse. La llanura no recordaba ni olvidaba. Solo mantenía su forma esencial sin resistirse a los cambios mínimos que el viento débil o la lluvia dispersa pudieran traer
68|No había señales de historia ni de futuro. Ningún rastro ni dirección. Ninguna huella que indicara que algo había pasado o que algo iba a pasar. La llanura no esperaba. No deseaba. Solo era.
69|El río serpenteaba lento sobre la tierra sin detenerse nunca. Su curso no tenía principio ni final claros. Avanzaba con calma entre piedras y arena como si conociera cada rincón sin necesidad de apresurarse.
70|Las piedras en el lecho se alisaban poco a poco con el paso del agua. Algunas se agrupaban formando pequeñas barreras que apenas alteraban el flujo. El río las sorteaba sin fuerza ni resistencia.
71|Su corriente no era rápida ni violenta. Más bien parecía un susurro constante que se repetía sin cesar. Los sonidos que acompañaban el curso del agua eran suaves y discretos
72|Nunca se elevaban en gritos ni estrépitos. Eran una música tenue que solo existía para aquel que se acercaba sin prisa. La vegetación cercana no luchaba por crecer.
73| Las raíces se extendían lentamente buscando el sustento sin dañar el suelo ni otras plantas. Las hojas caían con lentitud y se quedaban flotando en el agua antes de hundirse. No había lugar para la urgencia ni la competencia.
74|Todo era parte de un equilibrio delicado que se mantenía sin intervención externa. Los animales que habitaban cerca tampoco alteraban esa calma. Sus pasos eran silenciosos.
75|Durante la noche el río seguía su camino envuelto en oscuridad. La luz de la luna apenas tocaba su superficie. Las estrellas no se reflejaban en el agua. Todo permanecía como un suspiro detenido. La noche no traía cambio ni interrupción.
76|Solo una pausa en la percepción que no afectaba el curso continuo del río. La corriente seguía adelante sin importar la ausencia de luz o sonido.
77|El tiempo no marcaba diferencias. Los días y las noches se fundían en un ciclo sin comienzos ni finales claros. El río y la tierra se unían en un ritmo compartido que no necesitaba ser contado ni medido.
78|El bosque se extendía en todas direcciones con sus árboles altos y delgados. No parecía tener límites visibles. La luz que se filtraba entre las hojas era tenue y constante
79|Las carreteras se extendían largas y rectas sobre la tierra que parecía no tener fin. Los autos avanzaban sin prisa ni pausa sobre el asfalto que reflejaba el sol de manera apagada.
80| No había señales ni marcas que indicaran destinos. Solo una línea continua que guiaba el movimiento constante de las ruedas. El motor emitía un sonido monótono que se repetía como un latido inalterable
81|Cada auto mantenía su curso sin desvíos ni frenadas bruscas. No había necesidad de acelerar ni disminuir la velocidad. El trayecto era un flujo constante que no buscaba final ni comienzo.
82|Las ruedas giraban sobre el pavimento con un ritmo lento pero firme. La fricción no generaba calor ni desgaste visible. El neumático se deslizaba sobre la superficie como si no dejara rastro.
83|La carretera estaba limpia y lisa, sin baches ni grietas. El horizonte parecía un punto lejano que jamás se alcanzaría. La sensación era de un movimiento sin progreso, un avance perpetuo que no implicaba cambio.
84|El motor emitía vibraciones suaves que recorrían todo el auto. La estructura metálica no producía ecos ni resonancias. El interior permanecía en calma, sin sonidos que interrumpieran la armonía del viaje.
85|No había pasajeros ni conductores. Solo el movimiento mecánico que se repetía sin alteración. Los faros permanecían apagados porque la luz natural no necesitaba refuerzos.
86|La lluvia caía ocasionalmente con gotas uniformes que resbalaban sobre la carrocería sin mancharla ni crear ruido. El agua no formaba charcos ni corrientes.
87|La visibilidad permanecía clara y sin distorsiones. Los autos seguían su curso sin interrupción. El viaje no se detenía por fenómenos externos.
88|La noche llegaba sin oscuridad. El cielo permanecía en un tono gris uniforme que no alteraba la visibilidad. No había estrellas ni luna. La luz era difusa y constante. Los autos continuaban avanzando sin luces encendidas
89|El motor nunca se apagaba. El combustible no se agotaba. El sistema de propulsión funcionaba sin desgaste ni necesidad de mantenimiento.
90|La mecánica del movimiento no necesitaba energía ni intervención. Todo funcionaba en perfecta armonía sin defectos ni fallas. El viaje era un ciclo cerrado que no requería inicio ni conclusión.
91|La red se extendía más allá de lo visible sin bordes ni interrupciones. No tenía centro ni periferia. Era un entramado invisible que conectaba puntos dispersos en un espacio intangible.
92|Los datos se almacenaban sin ocupar espacio ni tiempo. La memoria era infinita y accesible sin restricciones. No había necesidad de borrar ni archivar
93|Las conexiones no se limitaban a cables o señales visibles. Había enlaces invisibles que trascendían la materia. Los protocolos eran complejos pero eficientes. 
94|Los algoritmos dirigían el flujo con una lógica impecable que no se cuestionaba. No había errores ni redundancias. La red aprendía sin detenerse. Evolucionaba sin crear conflictos. 
95|La velocidad del intercambio era tan alta que el concepto de tiempo se desvanecía. Los datos llegaban antes de ser solicitados. La información preexistía y se anticipaba. No había esperas ni demoras.
96|Todo estaba siempre actualizado en un instante perpetuo. El futuro y el pasado se entrelazaban en una misma realidad. La red era un tejido sin comienzo ni fin que contenía todo lo que había sido y sería.
97|El entorno físico apenas importaba. La red existía más allá de las máquinas y las pantallas. No requería dispositivos ni interfaces visibles. Su presencia era intangible pero omnipresente
98|La red infinita no buscaba reconocimiento ni poder. No tenía objetivos ni deseos. Solo existía en su perfección funcional. No era un sistema ni un programa.
99|Era un estado permanente de conexión y flujo. La tecnología había trascendido la forma para convertirse en esencia pura. Todo estaba unido en una danza silenciosa que no podía ser detenida.
100|En un espacio donde el metal y la luz convergían sin límites, las máquinas funcionaban con un ritmo constante. No había paradas ni descansos. Cada engranaje giraba sin desgaste aparente. Los circuitos emitían impulsos eléctricos que viajaban por caminos invisibles.
